整租 | 霖雨桥地铁站 中汇沃尔玛北辰财富中心 单身公寓 拎包,北辰财富中心,1900,https://km.58.com/zufang/41680139370649x.shtml?houseId=1413016155120654&shangquan=kmbeichen&shangquanId=12065&dataSource=0
单间 | 水晶堡 4室2厅1卫 次卧 东,新亚洲体育城,800,https://km.58.com/hezu/41626143008029x.shtml?houseId=1406104620506121&shangquan=xinyazhoutyc&shangquanId=13044&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfpARlIitYnHmzPWDYn1TkrjTzrg980v6YUykKuaYLmhwWrju-miYLPAFhsHE3uhEVrymQniY3uHu-rAnkmhcznAcKPWTkPWEvn1cOrjcdn1TKTHDYnjmQnjEvnWTdnjmQnWDKnHTznjTKnHTznjTKnikQnTDQPWDKnHN3PWTknjmzPHm3nEDYTNujsNYVOlXxOCB4OsBeOmBgl2AClpAdOGyYOuacOlXxOoXLOCliTHDKnHEKTiYQTEDQnWEdP1TYPjT1rHTvP1EYn1ckTHmKTHDKuWmzmvEdn1DVuHuhuBYYmWFbsyDdPAmVnHczrjwBnHTvuy7-THDzPjNLnjEYnjEkrj0krj0QnjEKnHcYPH0kPjEkPjTQrHbLrjcYnTDKTEDKTiYKTE7CIZwk01CfsvVVsWN3shPfUiqWpZRlIiqkUWDYskDKnWczsWcQPi3Oni33PkDkTHTKTHD_nHcKXLYKnHTkn1nKnHTknHNkP9Dzm1bYmWmQPadbnvuBsHwhm1DVmhn1radWuWbzmHI-PjEQPHNKTHTKTEDkTHDvnikQPHbksjDzrHm3THcKuAw-rjndmhEQP1T1n1DYnE
单间 | 金牛小区旁，靠近南亚，万达广场，金坤尚城小区,滇池路片区,720,https://km.58.com/hezu/41629338877083x.shtml?houseId=1406513691795468&shangquan=dianchilu&shangquanId=12082&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfpARlIitYnHmzrHn1rj9LP1T3nL980v6YUykKuad6PWbknH-hnBYznhF-sHEOrjNVmWNOnidWn1cQmHbLmyu-nvmKPWT3PH0drjDkPWTvnH9KTHDYnjmdnHnvrHDLrHNYPW9KnHT1njTKnHT1njTKnikQnTDQPWDKnHN3PWTknHmQPjTLPEDQn97AEzdPsXXMMSpcfSi38Syc-SB6Jrh6VXpRVryEBrXMMSpLVSprb9DQTHc1TEDVnEDKnHcYPWnznjnLrjb1rHD3P1cknTDvTEDQTH0LmWmvm1bksHKBnHTVPjTYniY3PyDzsyNdmvm3mHuBuAcYnEDQnWEvn1ckn10OnHTvrH0QPWE3THDzPjm1nWT1P1bknHEvrjEvP1cKTEDKTEDVTEDKpZwY0ZnlszqoUi3draOWUvYfmv6dXMNf0A3znztKTHcznB3znHN8rHD8rj0KnTDkTEDQsjDzTgVqTHDknjn1THDknjDdnjmKPHDvuymQmvEVnWu-PBYYrjFbsyD1rH0VPWnLuHR-rAcYryPbTEDkTEDKnTDQPWD_nHNOnikQnWTQnEDzTHb3PywhnvEdujT3ujNvuhE
整租 | 涌鑫哈佛中心 1室1厅1卫,市政府,1200,https://km.58.com/zufang/41722922142731x.shtml?houseId=1418492350291982&shangquan=chenggongxc&shangquanId=13323&dataSource=0
整租 | 高新区西城时代 沃尔玛旁启鸿假日城市精装3室拎包入住,高新区,2600,https://km.58.com/zufang/41724019127942x.shtml?houseId=1418632764334091&shangquan=kmgaoxin&shangquanId=12055&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfXMRhmyOMs1EQP1cYnjDOnHcLrHEzXaO1pZwVUT7bsyn3nj-BPARWsyN1uHDVPj6-niYOrjIWsH6WuHKWrHEOnWE1PTDLnj0dnjbQrjcQnW93nEDKnHEQrjm1nW0vPjn1PjTOnEDQn1NknTDQn1NknTDQsjDkTHDvnEDQPH9vnjTYnHnYPHE1THcKwbnVHiLMGO4hBs4b8sf-BFxCCpWGCUgh-UH-bcWMGO4hVexhWGcKnEDYP9DKsHDKTHDzPjm1njTdPHmQn191rjbdnjEKP9DKnEDzmWKhPj9YraYkPHwWsHEvPWEVrAFBPiYkPywhmWDkm1b3uAcKnHcYPWnknjNdPWcvPjcQrjmzPTDQnWEvn1TkPHNvnH93P1n1PjEkTEDKTEDKsEDKTy6YIZK1rBtfpvY8PH98mvqVsvPCIgGdsLK8PjmfTEDznWc8nWDdsWbQsW9LTHTKnTDKnikQnE7exEDQnjT1nkDQnjTQPHTvTHPbuWEduHn3syc1mHNVPj6buaY3nj6WsyNzuj-bnW6bn1m1nkDKnTDKTHTKnHmQsjDdrj9_nHDOrjEKn9DOPHN1rjNvrH6WuH66rH0Y
整租 | 长水航城水杉苑3室2卫 温馨舒适  干净清爽 可配家,长水机场,1400,https://km.58.com/zufang/41714135298334x.shtml?houseId=1417367633781774&shangquan=csjckm&shangquanId=32294&dataSource=0
单间 | 短租无中介精装修天骄北麓，近长虫山书香门第红云医院文,北市区,750,https://km.58.com/hezu/41668272846748x.shtml?houseId=1411497239944195&shangquan=beishiqu&shangquanId=12052&dataSource=0
整租 | 第七街区 1室0厅1卫,市政府,1200,https://km.58.com/zufang/41680080124179x.shtml?houseId=1413008571030530&shangquan=chenggongxc&shangquanId=13323&dataSource=0
单间 | 华龙人家个人直租 可月付 无中介 可短租 精装修,北市区,1080,https://km.58.com/hezu/41701997202451x.shtml?houseId=1415813956953097&shangquan=beishiqu&shangquanId=12052&dataSource=0
单间 | 涌鑫哈佛中心 2室1厅1卫 次卧 南,市政府,500,https://km.58.com/hezu/41724364066712x.shtml?houseId=1418676916067328&shangquan=chenggongxc&shangquanId=13323&dataSource=0
整租 | 经开区国际银座两室带家具家电1500元，可月付,新螺蛳湾,1500,https://km.58.com/zufang/41538273554178x.shtml?houseId=1394857330859008&shangquan=xinluo&shangquanId=12099&dataSource=0
